pais,cantidad,porcentaje,latitud,longitud
Perú,187756,25.20,-9.1899672,-75.015152
Colombia,"105,445",14.10,4.570868,-74.2973328
Venezuela (República Bolivariana de),"83,045",11.10,6.4237499,-66.5897293
Bolivia (Estado Plurinacional de),"73,769",9.90,-16.2901535,-63.5886536
Argentina,"66,491",8.90,-38.4160957,-63.6166725
Haití,"62,683",8.40,18.9711876,-72.2852173
Ecuador,"27,692",3.70,-1.831239,-78.183403
Brasil,"14,227",1.90,-14.2350044,-51.9252815
República Dominicana,"11,926",1.60,18.735693,-70.1626511
Cuba,"6,718",0.90,21.5217571,-77.7811661
México,"5,806",0.80,23.6345005,-102.5527878
Uruguay,"5,172",0.70,-32.5227776,-55.7658348
Paraguay,"4,492",0.60,-23.442503,-58.4438324